policy,cycle,latency_ms,tier
fixed_t1,0,12.201028,1
fixed_t1,1,10.002697,1
fixed_t1,2,3.826244,1
fixed_t1,3,6.037225,1
fixed_t1,4,9.856110,1
fixed_t1,5,3.022559,1
fixed_t1,6,15.495035,1
fixed_t1,7,11.621255,1
fixed_t1,8,16.742618,1
fixed_t1,9,6.547620,1
fixed_t1,10,12.360069,1
fixed_t1,11,8.824336,1
fixed_t1,12,5.551590,1
fixed_t1,13,6.270942,1
fixed_t1,14,26.033211,1
fixed_t1,15,10.592928,1
fixed_t1,16,11.407134,1
fixed_t1,17,6.008798,1
fixed_t1,18,10.034673,1
fixed_t1,19,6.308119,1
fixed_t1,20,10.289282,1
fixed_t1,21,6.420044,1
fixed_t1,22,6.738617,1
fixed_t1,23,8.247915,1
fixed_t1,24,13.079823,1
fixed_t1,25,9.001461,1
fixed_t1,26,9.482480,1
fixed_t1,27,10.144640,1
fixed_t1,28,13.425978,1
fixed_t1,29,7.512275,1
fixed_t1,30,13.034642,1
fixed_t1,31,17.690357,1
fixed_t1,32,12.312509,1
fixed_t1,33,5.190777,1
fixed_t1,34,4.584444,1
fixed_t1,35,7.489973,1
fixed_t1,36,9.743129,1
fixed_t1,37,5.581532,1
fixed_t1,38,4.258402,1
fixed_t1,39,4.999586,1
fixed_t1,40,5.176444,1
fixed_t1,41,4.925836,1
fixed_t1,42,13.332965,1
fixed_t1,43,10.603736,1
fixed_t1,44,7.750381,1
fixed_t1,45,2.253669,1
fixed_t1,46,8.909228,1
fixed_t1,47,11.415835,1
fixed_t1,48,8.354020,1
fixed_t1,49,11.378910,1
fixed_t1,50,8.335406,1
fixed_t1,51,14.281587,1
fixed_t1,52,3.879575,1
fixed_t1,53,5.416880,1
fixed_t1,54,9.597890,1
fixed_t1,55,5.674058,1
fixed_t1,56,9.946097,1
fixed_t1,57,8.570982,1
fixed_t1,58,6.374248,1
fixed_t1,59,8.211235,1
fixed_t1,60,5.250775,1
fixed_t1,61,8.771377,1
fixed_t1,62,6.608422,1
fixed_t1,63,12.297459,1
fixed_t1,64,17.028310,1
fixed_t1,65,6.986572,1
fixed_t1,66,10.783357,1
fixed_t1,67,17.799210,1
fixed_t1,68,9.199653,1
fixed_t1,69,4.196883,1
fixed_t1,70,9.141881,1
fixed_t1,71,9.457688,1
fixed_t1,72,10.670498,1
fixed_t1,73,11.180080,1
fixed_t1,74,10.422252,1
fixed_t1,75,14.582761,1
fixed_t1,76,4.107585,1
fixed_t1,77,8.844456,1
fixed_t1,78,15.833096,1
fixed_t1,79,8.991635,1
fixed_t1,80,9.938518,1
fixed_t1,81,13.649956,1
fixed_t1,82,7.122735,1
fixed_t1,83,9.772167,1
fixed_t1,84,6.062466,1
fixed_t1,85,12.387860,1
fixed_t1,86,8.425578,1
fixed_t1,87,14.354980,1
fixed_t1,88,4.068402,1
fixed_t1,89,9.797140,1
fixed_t1,90,4.151751,1
fixed_t1,91,8.731600,1
fixed_t1,92,5.302284,1
fixed_t1,93,9.701701,1
fixed_t1,94,7.508605,1
fixed_t1,95,13.958776,1
fixed_t1,96,8.307152,1
fixed_t1,97,8.336978,1
fixed_t1,98,4.264170,1
fixed_t1,99,9.812088,1
fixed_t1,100,16.888458,1
fixed_t1,101,21.225565,1
fixed_t1,102,3.418956,1
fixed_t1,103,6.193442,1
fixed_t1,104,15.740096,1
fixed_t1,105,2.449877,1
fixed_t1,106,4.153519,1
fixed_t1,107,7.154841,1
fixed_t1,108,7.687467,1
fixed_t1,109,6.748428,1
fixed_t1,110,6.169725,1
fixed_t1,111,9.841896,1
fixed_t1,112,6.919795,1
fixed_t1,113,4.078989,1
fixed_t1,114,3.847540,1
fixed_t1,115,14.459498,1
fixed_t1,116,5.951320,1
fixed_t1,117,6.440582,1
fixed_t1,118,7.037037,1
fixed_t1,119,5.919282,1
fixed_t1,120,7.570089,1
fixed_t1,121,8.085235,1
fixed_t1,122,11.689492,1
fixed_t1,123,6.864251,1
fixed_t1,124,4.828108,1
fixed_t1,125,7.236705,1
fixed_t1,126,10.655581,1
fixed_t1,127,6.930018,1
fixed_t1,128,6.088213,1
fixed_t1,129,9.285005,1
fixed_t1,130,8.509953,1
fixed_t1,131,3.079146,1
fixed_t1,132,4.406622,1
fixed_t1,133,13.497790,1
fixed_t1,134,4.895320,1
fixed_t1,135,6.124725,1
fixed_t1,136,12.613895,1
fixed_t1,137,8.850775,1
fixed_t1,138,7.944028,1
fixed_t1,139,13.525589,1
fixed_t1,140,8.445005,1
fixed_t1,141,9.817796,1
fixed_t1,142,6.465612,1
fixed_t1,143,12.233476,1
fixed_t1,144,16.036787,1
fixed_t1,145,4.575051,1
fixed_t1,146,3.094648,1
fixed_t1,147,4.131785,1
fixed_t1,148,11.723612,1
fixed_t1,149,10.391241,1
fixed_t1,150,9.327336,1
fixed_t1,151,5.179983,1
fixed_t1,152,13.576286,1
fixed_t1,153,9.935593,1
fixed_t1,154,11.012896,1
fixed_t1,155,7.386200,1
fixed_t1,156,5.466667,1
fixed_t1,157,12.061580,1
fixed_t1,158,8.442423,1
fixed_t1,159,4.540419,1
fixed_t1,160,8.366668,1
fixed_t1,161,4.323332,1
fixed_t1,162,8.940720,1
fixed_t1,163,5.100225,1
fixed_t1,164,7.977482,1
fixed_t1,165,11.051427,1
fixed_t1,166,7.367292,1
fixed_t1,167,17.929859,1
fixed_t1,168,21.236492,1
fixed_t1,169,6.604775,1
fixed_t1,170,11.359148,1
fixed_t1,171,7.644546,1
fixed_t1,172,5.087100,1
fixed_t1,173,8.783716,1
fixed_t1,174,7.439094,1
fixed_t1,175,7.726496,1
fixed_t1,176,6.351523,1
fixed_t1,177,7.746193,1
fixed_t1,178,8.143925,1
fixed_t1,179,7.820567,1
fixed_t1,180,6.810656,1
fixed_t1,181,5.929498,1
fixed_t1,182,7.194614,1
fixed_t1,183,19.630407,1
fixed_t1,184,10.216906,1
fixed_t1,185,7.863022,1
fixed_t1,186,10.458271,1
fixed_t1,187,6.470294,1
fixed_t1,188,8.585179,1
fixed_t1,189,9.789421,1
fixed_t1,190,10.688221,1
fixed_t1,191,7.368493,1
fixed_t1,192,6.122522,1
fixed_t1,193,5.320972,1
fixed_t1,194,12.518337,1
fixed_t1,195,8.373293,1
fixed_t1,196,7.133784,1
fixed_t1,197,5.775066,1
