run,seed,m_down12,dwell_min,p99,miss_rate,tier3_frac
0,1591207480,1.0,30,20.630570086970156,0.0024444444444444444,0.37666666666666665
0,1591207480,2.0,60,19.597879035316065,0.002,0.4
0,1591207480,3.0,90,21.19195375809057,0.003111111111111111,0.33
1,1814784297,1.0,30,21.176683309417978,0.0032222222222222222,0.35
1,1814784297,2.0,60,20.397320852088402,0.003,0.35333333333333333
1,1814784297,3.0,90,20.744589450315747,0.0026666666666666666,0.33
2,230512677,1.0,30,20.481349599005306,0.0023333333333333335,0.36333333333333334
2,230512677,2.0,60,19.768286961483458,0.0017777777777777779,0.3933333333333333
2,230512677,3.0,90,19.665997817230767,0.0017777777777777779,0.37
3,345687080,1.0,30,19.433682502111512,0.001888888888888889,0.39666666666666667
3,345687080,2.0,60,22.07169619390358,0.0038888888888888888,0.32
3,345687080,3.0,90,21.985874963373252,0.004555555555555556,0.23
4,983484580,1.0,30,20.114482157848112,0.0025555555555555557,0.37
4,983484580,2.0,60,20.400257662078868,0.0023333333333333335,0.3333333333333333
4,983484580,3.0,90,20.0585779805175,0.002777777777777778,0.38
5,1197747294,1.0,30,20.545093405957864,0.002777777777777778,0.35
5,1197747294,2.0,60,20.766952936526906,0.0033333333333333335,0.36666666666666664
5,1197747294,3.0,90,19.988612111942256,0.0017777777777777779,0.4
6,1635594672,1.0,30,21.280198543584863,0.0026666666666666666,0.3233333333333333
6,1635594672,2.0,60,20.325502203617724,0.0024444444444444444,0.34
6,1635594672,3.0,90,19.764412419574587,0.002,0.36
7,790445655,1.0,30,21.155834583221072,0.003777777777777778,0.33
7,790445655,2.0,60,20.511412724484227,0.0026666666666666666,0.36666666666666664
7,790445655,3.0,90,19.312834747165816,0.0013333333333333333,0.4
8,76921334,1.0,30,20.604959751294704,0.0034444444444444444,0.37
8,76921334,2.0,60,20.24551650978779,0.0022222222222222222,0.37333333333333335
8,76921334,3.0,90,19.82884000899915,0.0026666666666666666,0.39
9,461584351,1.0,30,21.127024294408734,0.004555555555555556,0.32666666666666666
9,461584351,2.0,60,20.823561983834935,0.002111111111111111,0.36666666666666664
9,461584351,3.0,90,21.310968632340916,0.003,0.33
10,979858944,1.0,30,21.218095602757217,0.0034444444444444444,0.33
10,979858944,2.0,60,20.45295446381545,0.0023333333333333335,0.38
10,979858944,3.0,90,20.983120508304307,0.0033333333333333335,0.32
11,828550811,1.0,30,20.957047684508588,0.003,0.35333333333333333
11,828550811,2.0,60,21.127433960293732,0.002777777777777778,0.3333333333333333
11,828550811,3.0,90,19.84010447895543,0.002111111111111111,0.37
12,1965527186,1.0,30,20.273540596210765,0.0026666666666666666,0.37
12,1965527186,2.0,60,20.353471339795004,0.001888888888888889,0.38
12,1965527186,3.0,90,19.919483268842843,0.0011111111111111111,0.38
13,919476259,1.0,30,20.401664984614108,0.003111111111111111,0.37666666666666665
13,919476259,2.0,60,21.82922078171178,0.0038888888888888888,0.3
13,919476259,3.0,90,20.57621143892277,0.002111111111111111,0.35
14,1370311827,1.0,30,21.03197499834892,0.002111111111111111,0.37666666666666665
14,1370311827,2.0,60,20.585066256750654,0.0025555555555555557,0.34
14,1370311827,3.0,90,21.27786940442439,0.0036666666666666666,0.28
15,1312849327,1.0,30,19.729046924799587,0.002111111111111111,0.3933333333333333
15,1312849327,2.0,60,20.472231310850486,0.0024444444444444444,0.36
15,1312849327,3.0,90,20.39437342199721,0.0014444444444444444,0.36
16,195542680,1.0,30,20.958868077720407,0.0023333333333333335,0.37
16,195542680,2.0,60,20.058659095169347,0.0022222222222222222,0.38
16,195542680,3.0,90,20.15861016912311,0.0024444444444444444,0.33
17,1581376614,1.0,30,20.873631722634514,0.0028888888888888888,0.36666666666666664
17,1581376614,2.0,60,20.200398926063777,0.002111111111111111,0.3933333333333333
17,1581376614,3.0,90,18.84218868141205,0.0015555555555555555,0.4
18,107260627,1.0,30,21.27073479738243,0.0035555555555555557,0.33
18,107260627,2.0,60,21.657178542403845,0.0025555555555555557,0.32
18,107260627,3.0,90,19.608662501814965,0.001,0.39
19,32834287,1.0,30,20.097762067614873,0.0017777777777777779,0.37666666666666665
19,32834287,2.0,60,20.86147432483785,0.0026666666666666666,0.3333333333333333
19,32834287,3.0,90,20.995089006217576,0.0034444444444444444,0.3
20,1257010628,1.0,30,20.12070276598152,0.001888888888888889,0.38333333333333336
20,1257010628,2.0,60,19.282093125273015,0.0015555555555555555,0.3933333333333333
20,1257010628,3.0,90,19.690040915347566,0.0015555555555555555,0.39
21,545548707,1.0,30,20.11525051011206,0.0017777777777777779,0.37
21,545548707,2.0,60,21.390166508250424,0.004,0.3
21,545548707,3.0,90,20.91754049826705,0.003111111111111111,0.31
22,786091512,1.0,30,19.38491063177615,0.0013333333333333333,0.4033333333333333
22,786091512,2.0,60,21.075129409674254,0.0026666666666666666,0.34
22,786091512,3.0,90,19.309138195503692,0.0014444444444444444,0.38
23,1297393342,1.0,30,19.89028740631128,0.0013333333333333333,0.37
23,1297393342,2.0,60,20.03342714889202,0.002,0.3933333333333333
23,1297393342,3.0,90,20.572440576731175,0.0022222222222222222,0.35
24,335903540,1.0,30,21.074197176912296,0.0035555555555555557,0.37
24,335903540,2.0,60,20.384711322081163,0.0025555555555555557,0.3466666666666667
24,335903540,3.0,90,20.602085188645564,0.003111111111111111,0.36
25,179823182,1.0,30,20.305075784186993,0.0023333333333333335,0.35
25,179823182,2.0,60,20.375558125511645,0.0022222222222222222,0.37333333333333335
25,179823182,3.0,90,20.508499694487842,0.0023333333333333335,0.32
26,1504878305,1.0,30,20.458436784951,0.002111111111111111,0.35333333333333333
26,1504878305,2.0,60,21.213224565821918,0.003,0.31333333333333335
26,1504878305,3.0,90,21.286803125341887,0.0028888888888888888,0.24
27,2142681188,1.0,30,20.52812997136641,0.003,0.3433333333333333
27,2142681188,2.0,60,19.283897612558725,0.002111111111111111,0.3933333333333333
27,2142681188,3.0,90,20.558170554933927,0.0023333333333333335,0.35
28,1466447481,1.0,30,20.75023976352953,0.003111111111111111,0.35
28,1466447481,2.0,60,19.073639124477214,0.0022222222222222222,0.4
28,1466447481,3.0,90,20.366741007816746,0.0016666666666666668,0.37
29,1787449690,1.0,30,20.31798568466088,0.001888888888888889,0.38
29,1787449690,2.0,60,19.940223377468133,0.0013333333333333333,0.4
29,1787449690,3.0,90,19.63472732678895,0.0023333333333333335,0.38
