phase,latency_ms
nominal,6.001333939
nominal,6.003374932
nominal,6.000124849
nominal,6.000082940
nominal,6.000082940
nominal,6.000166992
nominal,6.000208901
nominal,6.000292022
nominal,6.000207970
nominal,6.000124849
nominal,6.000166060
nominal,6.007957971
nominal,6.000250112
nominal,6.000125082
nominal,6.000249879
nominal,6.000084104
nominal,6.000125082
nominal,6.000249879
nominal,6.000125082
nominal,6.042666035
nominal,6.000041962
nominal,6.000082940
nominal,6.000374909
nominal,6.000375142
nominal,6.000042195
nominal,6.000125082
nominal,6.000084104
nominal,6.000082940
nominal,6.000082940
nominal,6.000207970
nominal,6.000082940
nominal,6.000041030
nominal,6.000082940
nominal,6.000125082
nominal,6.000125082
nominal,6.000124849
nominal,6.000124849
nominal,6.000207970
nominal,6.000041962
nominal,6.000166060
nominal,6.000084104
nominal,6.000250112
nominal,6.000207970
nominal,6.007167045
nominal,6.000082940
nominal,6.000082940
nominal,6.000125082
nominal,6.000041962
nominal,6.000249879
nominal,6.000208901
nominal,6.000041030
nominal,6.000041962
nominal,6.000083871
nominal,6.000041030
nominal,6.000084104
nominal,6.002541864
nominal,6.004041992
nominal,6.000082940
nominal,6.000083871
nominal,6.000208901
nominal,6.000166992
nominal,6.000125082
nominal,6.000041962
nominal,6.000041962
nominal,6.000166992
nominal,6.000082940
nominal,6.000084104
nominal,6.000083871
nominal,6.000207970
nominal,6.000083871
nominal,6.000041962
nominal,6.002832903
nominal,6.000250112
nominal,6.000041962
nominal,6.000084104
nominal,6.000083871
nominal,6.000084104
nominal,6.000166992
nominal,6.000082940
nominal,6.000083173
nominal,6.000041962
nominal,6.000166992
nominal,6.015290972
nominal,6.000082940
nominal,6.000207970
nominal,6.000292022
nominal,6.000249879
nominal,6.000083871
nominal,6.000041962
nominal,6.000165828
nominal,6.000083173
nominal,6.000041030
nominal,6.000083871
nominal,6.000083173
nominal,6.000082940
nominal,6.000166992
nominal,6.000041962
nominal,6.000082940
nominal,6.000084104
nominal,6.000082940
nominal,6.000084104
nominal,6.000082940
nominal,6.000207970
nominal,6.000249879
nominal,6.000083173
nominal,6.000290858
nominal,6.000207970
nominal,6.000041962
nominal,6.000250112
nominal,6.000083871
nominal,6.000207970
nominal,6.000125082
